City ID,City,Country,Lat,Lng,Humidity,Temp,Max Temp,Wind Speed,Cloudiness,Date
141,Goderich,CA,43.75,-81.72,67,70.54,75.0,8.46,0,1592509436
142,Eureka,US,40.8,-124.16,93,61.95,64.0,4.7,90,1592509437
143,Buin,CL,-33.73,-70.75,76,51.15,53.6,3.0,75,1592509416
144,Arlit,NE,18.74,7.39,9,95.4,95.4,2.3,0,1592509132
145,Leshukonskoye,RU,64.9,45.76,64,55.17,55.17,5.73,98,1592509437
146,Jalu,LY,29.03,21.55,23,83.48,83.48,10.89,0,1592509035
147,Faanui,PF,-16.48,-151.75,79,79.9,79.9,3.94,100,1592508917
148,Barra do Garças,BR,-15.89,-52.26,52,87.8,87.8,5.82,3,1592509437
149,Ternate,ID,0.8,127.4,80,80.46,80.46,4.52,94,1592509167
150,Gimli,CA,50.63,-96.99,87,60.93,63.0,5.01,87,1592509322
151,Rurrenabaque,BO,-14.44,-67.53,59,85.96,85.96,2.3,97,1592509438
152,Luanda,AO,-8.84,13.23,88,73.4,73.4,4.7,0,1592509256
153,Bodinayakkanur,IN,10.02,77.35,56,78.51,78.51,4.65,100,1592509438
154,Povenets,RU,62.85,34.83,88,60.39,60.39,9.01,100,1592509438
155,Petatlán,MX,17.52,-101.27,59,89.6,89.6,10.29,40,1592509438
156,Bozeman,US,45.68,-111.04,62,50.94,55.4,4.68,90,1592509438
157,Adrar,MR,20.5,-10.07,14,101.73,101.73,12.03,91,1592509128
158,Yagodnoye,RU,62.55,149.67,44,64.87,64.87,3.02,98,1592509439
159,Kuytun,RU,54.34,101.5,62,51.44,51.44,6.76,62,1592509139
160,Kristinestad,FI,62.27,21.38,90,56.84,56.84,5.28,0,1592509439
161,Anadyr,RU,64.75,177.48,55,66.09,66.2,4.47,99,1592508916
162,Sambava,MG,-14.27,50.17,85,71.78,71.78,17.9,100,1592509439
163,Bredasdorp,ZA,-34.53,20.04,87,48.2,48.2,4.76,0,1592508911
164,Griffith,US,41.53,-87.42,33,85.08,87.01,5.59,1,1592509359
165,Namatanai,PG,-3.67,152.43,82,79.83,79.83,5.44,8,1592508922
166,Mamou,GN,10.5,-12.0,93,72.81,72.81,5.57,50,1592509439
167,Ambon City,ID,-3.7,128.18,94,78.84,80.01,4.7,75,1592509151
168,Cervo,ES,43.67,-7.41,78,59.52,61.0,4.0,53,1592509167
169,Talnakh,RU,69.49,88.4,70,44.6,44.6,11.18,84,1592509137
170,Alyangula,AU,-13.85,136.42,94,68.0,68.0,12.39,9,1592509312
171,Coquimbo,CL,-29.95,-71.34,67,60.8,60.8,9.17,100,1592509115
172,Pochutla,MX,15.74,-96.47,83,78.8,78.8,3.67,90,1592509326
173,Atambua,ID,-9.11,124.89,89,71.92,71.92,5.75,93,1592509440
174,Camabatela,AO,-8.19,15.38,39,64.06,64.06,5.23,0,1592509440
175,Río Gallegos,AR,-51.62,-69.22,93,39.2,39.2,5.82,90,1592509440
176,Mountain Home,US,43.13,-115.69,30,69.8,69.8,5.82,75,1592509222
177,Dingle,PH,11.0,122.67,93,75.67,75.67,9.17,100,1592509142
178,Hithadhoo,MV,-0.6,73.08,77,84.4,84.4,9.42,100,1592509111
179,Seoul,KR,37.57,126.98,77,69.8,69.8,8.05,90,1592509266
180,Daru,PG,-9.08,143.21,83,78.17,78.17,16.49,100,1592509441
181,Henties Bay,NA,-22.12,14.28,48,73.0,73.0,8.75,0,1592509418
182,Nioro,GM,13.35,-15.75,46,90.37,90.37,14.29,3,1592509157
183,São José da Coroa Grande,BR,-8.9,-35.15,80,78.15,78.15,10.6,12,1592509441
184,Malbork,PL,54.04,19.03,100,64.63,66.0,1.12,88,1592509256
185,Erzin,TR,36.96,36.2,83,73.99,73.99,1.01,44,1592509334
186,Te Anau,NZ,-45.42,167.72,96,30.54,30.54,1.03,17,1592509120
187,Epe,NG,6.58,3.98,89,76.33,76.33,5.35,93,1592509442
188,Mount Isa,AU,-20.73,139.5,72,64.4,64.4,3.36,0,1592509109
189,Srandakan,ID,-7.94,110.25,86,77.27,77.27,10.96,43,1592509442
190,Barrow,US,71.29,-156.79,65,46.4,46.4,8.05,1,1592508655
191,Makakilo City,US,21.35,-158.09,83,77.34,78.8,5.82,90,1592509443
192,Ponta Delgada,PT,37.73,-25.67,82,64.4,64.4,12.75,75,1592509311
193,Bilibino,RU,68.05,166.44,37,69.1,69.1,5.1,0,1592509148
194,Marzuq,YE,14.4,46.47,30,87.06,87.06,4.68,100,1592509440
195,Basco,PH,20.45,121.97,83,84.49,84.49,17.52,18,1592509443
196,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,100,41.0,41.0,4.47,90,1592509106
197,Hofn,IS,64.25,-15.21,84,49.01,49.01,3.33,0,1592509188
198,Etchoropo,MX,26.77,-109.67,32,98.49,99.0,5.99,0,1592509443
199,Asău,RO,46.43,26.4,93,62.01,62.01,3.47,36,1592509131
200,Tandil,AR,-37.32,-59.13,50,59.0,59.0,7.0,14,1592509443
201,Tuatapere,NZ,-46.13,167.68,83,39.0,39.0,3.0,24,1592509115
202,Kiryat Gat,IL,31.61,34.76,76,71.35,75.0,6.26,1,1592509023
203,Cabo San Lucas,MX,22.89,-109.91,40,91.36,93.2,8.05,20,1592509043
204,Menzel Salem,TN,35.86,8.48,10,87.8,87.8,5.82,75,1592509444
205,Vao,NC,-22.67,167.48,78,71.67,71.67,15.05,89,1592509301
206,Port Macquarie,AU,-31.43,152.92,97,53.01,53.01,2.42,70,1592509146
207,Baker City,US,44.77,-117.83,33,66.67,71.6,4.25,1,1592509444
208,Bethel,US,41.37,-73.41,57,78.39,80.01,11.41,40,1592509008
209,Kupang,ID,-10.17,123.58,82,75.99,75.99,12.75,99,1592509307
210,Gulfport,US,30.37,-89.09,58,85.82,87.01,13.87,40,1592509444
